ID,FolderName,PlantNumber,Side,Start,End,RootVolume,Genotype,Stage,nb_racines,surface_totale,taille_moyenne,ratio_couverture,densite_racines
ID_470797_Ayxwed,Dz9lpsl9ae,3,L,37,46,2.5,TMEB419,Early,0.43902439024390244,2234.791853276695,1204.7524483843547,0.18454353616549013,0.00017501899311990916
ID_636792_Iqfew2,L5l1h3kekg,4,L,38,50,1.4,IITA-TMS-IBA000070,Early,0.7317073170731707,4209.169436291951,1717.0356353201516,0.3076381714379628,0.00020858321739205773
ID_930483_Dtfg1r,Pucqtyga9u,3,L,30,40,0.5,TMEB419,Early,0.5670731707317073,2897.5432560618333,1137.6007854182546,0.2293356574994555,5.0355635377209974e-05
ID_543377_Puizhy,Puya1uaaln,4,R,16,37,1.9,TMEB419,Early,0.4451219512195122,1455.3563932093177,1146.6440868842892,0.11224271880250353,0.00013521999175513023
ID_588554_Hzpbye,P3om3dfa78,1,R,21,31,0.9,TMEB419,Early,0.6158536585365854,3823.93012451544,1923.5054299889541,0.27461448275713213,0.000137508341502021
ID_750705_Fl3z8e,Ot13d4nq6t,3,L,41,50,0.5,DIXON,Early,0.6829268292682927,3285.688712887648,1500.620337137362,0.2501184787624141,0.00010408424843640968
ID_326412_Yepco3,Jtcfkuovxk,4,R,28,45,0.4,TMEB693,Early,0.43902439024390244,2118.3971713926735,1367.8813960377763,0.15151772717627052,0.0001905011045641381
ID_717973_Dmcd2q,Vinlgebupo,6,L,23,29,0.8,IBA980581,Early,0.21951219512195122,626.8966905082144,440.8197050792415,0.0519167684439678,0.00028186213136984335
ID_434216_Bjmknr,F3odypnsyf,5,L,15,23,3.4,IITA-TMS-IBA000070,Late,1.6341463414634145,6601.491062815597,1920.0580020067168,0.5009245002746843,0.00013747956638876638
ID_147245_X3bsuc,Wgutyon8uu,3,L,18,45,1.8,TMEB419,Early,0.6219512195121951,3868.997093293725,1304.1284052220788,0.2700032892191215,0.00012472040768601408
ID_643905_Ruonfx,Lwuwokuhrf,5,R,15,30,5.8,TMEB419,Early,0.9939024390243902,4611.369436170997,1878.420801720968,0.3385707461880605,0.0004102205719981383
ID_279168_I3ptav,Hzapvbcfm8,4,R,24,30,1.4,IBA154810,Early,1.0365853658536586,3802.9076632988163,1652.9139432209295,0.2886822393919292,0.00033341003625625084
ID_772320_Mbgwbz,Vbkivqphuz,3,R,30,38,2.1,TMEB693,Early,0.6524390243902439,3602.3002006716843,1810.6644034036776,0.2710620963482028,8.805831915842192e-05
ID_262580_W6oitf,H9lomh5fxk,5,L,40,50,0.3,TMEB419,Early,0.4146341463414634,1253.4354283402606,839.9741653814549,0.09916845039228955,0.00020768357135539652
ID_311146_Vhntsv,L8w7zu7wek,3,L,33,51,4.5,IITA-TMS-IBA000070,Early,0.6829268292682927,3323.434558403201,1648.8045661740186,0.24633700130218156,0.00012423795034282394
ID_721485_Slgu6q,Mskdmpitqk,4,L,21,36,2.1,TMEB419,Early,0.8353658536585366,3137.1339856124505,1423.301626112403,0.24627700414214437,0.0005725939872766287
ID_714845_Rfhbdv,Isdzz86frg,6,L,10,23,2.3,IITA-TMS-IBA000070,Late,2.2439024390243905,7979.289913642697,1936.0948244420495,0.6188972152125141,0.00022175279681046334
ID_677067_Lk1opz,S6lk1xauct,5,L,28,33,2.3,TMEB419,Early,0.3902439024390244,1463.7724158124227,710.986400604248,0.12078488217256643,0.0003502449595573753
ID_364756_Ypesry,Jrem9eo37e,5,L,29,36,2.6,IBA154810,Early,0.5670731707317073,2217.424998260126,1271.1033660609548,0.17759094666996056,0.00017560721824972194
ID_106896_Zl2dzl,Pucqtyga9u,6,R,37,43,1.5,TMEB419,Early,0.5670731707317073,2897.5432560618333,1137.6007854182546,0.2293356574994555,5.0355635377209974e-05
ID_820530_Axdmox,Pw4ytibfql,2,R,28,35,1.4,TMEB419,Early,0.6890243902439024,3575.108218402397,1396.8850232566276,0.2639195042814802,0.0003540171917395738
ID_543302_Ce9sym,Yjzw2bylox,6,L,25,32,0.9,TMEB693,Early,0.524390243902439,2551.51399096047,1492.188474096903,0.18066456447795143,0.0003271685592875628
ID_381199_Gmjp9s,V6awcupt6m,6,L,34,41,0.2,TMEB693,Early,0.8963414634146342,6040.42711285847,1692.9927435153868,0.4283895474736432,0.00020433296280077093
ID_568055_Ynpzbb,Xydfltswbm,5,L,43,50,2.5,IBA154810,Early,0.6524390243902439,3982.200747606231,977.7307024699886,0.28981359489860425,3.8255401202774865e-05
ID_162495_Ppjteb,Pucqtyga9u,2,R,37,43,0.5,TMEB419,Early,0.5670731707317073,2897.5432560618333,1137.6007854182546,0.2293356574994555,5.0355635377209974e-05
ID_964010_Vm9kue,L8w7zu7wek,2,R,27,33,2.2,IITA-TMS-IBA000070,Early,0.6829268292682927,3323.434558403201,1648.8045661740186,0.24633700130218156,0.00012423795034282394
ID_375603_Gdqrl8,Kjvcz6bjfj,3,R,26,39,2.3,IBA980581,Early,0.6402439024390244,3068.4603904165874,2057.4045417599564,0.23562930858050635,0.00014995937367751245
ID_722021_Zddwq1,Rzyf8hal4j,3,L,32,40,3.0,IBA154810,Early,0.5487804878048781,2158.9960492762125,810.1959036850348,0.1620315714095876,0.0003384180837888711
ID_170847_F3fsoi,Lwuwokuhrf,1,R,15,30,3.1,TMEB419,Early,0.9939024390243902,4611.369436170997,1878.420801720968,0.3385707461880605,0.0004102205719981383
ID_754042_Owwqpa,Tbhppxjkvr,5,L,22,31,2.7,IBA980581,Early,0.6707317073170732,3783.3353215659536,1818.8396684600086,0.2719704358462381,0.00015309043088279915
ID_645074_Wwbbkm,Miny0c252a,2,R,28,35,2.8,IITA-TMS-IBA000070,Early,0.7317073170731707,3995.580706712676,2166.0740047547874,0.2911245372390852,9.174429042524583e-05
ID_712776_Muhdiq,Hzapvbcfm8,6,R,24,30,0.75,IBA154810,Early,1.0365853658536586,3802.9076632988163,1652.9139432209295,0.2886822393919292,0.00033341003625625084
ID_791725_Rhiidd,Toaefqwoli,6,L,37,47,0.5,TMEB419,Early,0.32926829268292684,1197.2145192216083,573.0135684129668,0.09773179748747822,0.00011392723147904544
ID_668337_Sbyzrp,Puya1uaaln,4,L,26,42,1.9,TMEB419,Early,0.4451219512195122,1455.3563932093177,1146.6440868842892,0.11224271880250353,0.00013521999175513023
ID_260577_Zumui0,Rzyf8hal4j,5,R,38,47,3.0,IBA154810,Early,0.5487804878048781,2158.9960492762125,810.1959036850348,0.1620315714095876,0.0003384180837888711
ID_757689_Dcife2,Vlcavd4dwj,3,L,34,42,2.8,IITA-TMS-IBA000070,Early,0.5487804878048781,2480.1511736613948,1434.9277805235329,0.17612079532120367,0.00011755786478226952
ID_322039_Ygm7e5,Cex3glsnzv,7,L,40,47,0.2,DIXON,Early,0.9939024390243902,5523.818296292933,1335.2501073697717,0.39912922447503557,0.00016156673551391342
ID_906453_Jtgmbn,Vlqr6qhbqk,6,L,48,55,1.8,IBA154810,Early,0.6646341463414634,2075.9133855307973,1007.9677805086461,0.15560539163798837,0.00018547801655361123
ID_547014_P8mj1g,S6lk1xauct,4,L,28,33,2.1,TMEB419,Early,0.3902439024390244,1463.7724158124227,710.986400604248,0.12078488217256643,0.0003502449595573753
ID_432631_Fnb8jf,Q91mym9ev4,3,R,22,30,1.7,TMEB693,Early,0.4024390243902439,2008.684172095322,885.0968814012481,0.1516503986656115,7.425295143155708e-05
ID_597793_X99k4f,Tbhppxjkvr,3,R,16,24,2.7,IBA980581,Early,0.6707317073170732,3783.3353215659536,1818.8396684600086,0.2719704358462381,0.00015309043088279915
ID_755935_Bzrkjq,Aevcaxguiw,2,L,8,16,4.2,IITA-TMS-IBA000070,Late,1.1951219512195121,3961.3477664110137,1463.5759061487709,0.2930857328564423,0.00018977159066509733
ID_325246_Pppt37,S6lk1xauct,3,R,24,39,2.3,TMEB419,Early,0.3902439024390244,1463.7724158124227,710.986400604248,0.12078488217256643,0.0003502449595573753
ID_175452_Du2oso,Dhfwcg1uj2,2,R,20,32,0.9,IBA154810,Early,1.1341463414634145,3281.4196513106185,1359.7278341898104,0.24166203020899632,0.00024100375580854013
ID_778253_Ffmftz,Rzyf8hal4j,4,L,32,40,1.8,IBA154810,Early,0.5487804878048781,2158.9960492762125,810.1959036850348,0.1620315714095876,0.0003384180837888711
ID_335091_Rceu2s,Ecxdebmlnr,1,R,25,36,0.3,IITA-TMS-IBA000070,Early,0.4817073170731707,2869.591641309785,935.6905145412538,0.20957533178437934,0.00013840772638685052
ID_753044_J7koen,Izbgyxre0g,5,R,22,33,2.2,IBA154810,Early,0.8963414634146342,5327.072115270103,2168.9836113162155,0.4033247882762597,0.00014579752967425845
ID_924076_Gqkl6j,Ph2ti2sjzu,4,L,22,35,4.2,IBA980581,Early,0.7012195121951219,3201.814254016411,1530.8430938720703,0.24112771758292725,0.00015120067115788934
ID_246322_Wcvxox,B8x7mhxe6z,7,L,23,33,0.8,IBA154810,Early,1.0121951219512195,4370.656577505716,1991.182390166492,0.3234718412249075,0.00025013703967474796
ID_871726_Heyzw6,Xydfltswbm,3,L,43,50,0.5,IBA154810,Early,0.6524390243902439,3982.200747606231,977.7307024699886,0.28981359489860425,3.8255401202774865e-05
ID_495384_Ezhnq9,Xrrcqvdbkw,3,R,27,36,2.1,IBA154810,Early,0.8902439024390244,5207.432427848257,1694.1017713779356,0.38969043534604064,0.00023745791636089057
ID_225072_B3txqy,Ah4ubi4ggi,3,R,27,44,3.1,IITA-TMS-IBA000070,Early,0.5365853658536586,2327.2339604075364,1576.1833056938358,0.1834355896299674,0.00016048322065393973
ID_290289_L4hhmq,L8w7zu7wek,5,L,33,51,2.9,IITA-TMS-IBA000070,Early,0.6829268292682927,3323.434558403201,1648.8045661740186,0.24633700130218156,0.00012423795034282394
ID_198688_Euc97b,F5lrpuuq8q,2,R,23,31,2.7,IBA980581,Early,0.6585365853658537,4052.777553837474,1508.5524085440286,0.29063512832461413,0.00017683719321891716
ID_224297_Plu8jf,Dhfwcg1uj2,6,L,20,32,0.9,IBA154810,Early,1.1341463414634145,3281.4196513106185,1359.7278341898104,0.24166203020899632,0.00024100375580854013
ID_375872_E2puro,Rzyf8hal4j,2,R,38,47,1.4,IBA154810,Early,0.5487804878048781,2158.9960492762125,810.1959036850348,0.1620315714095876,0.0003384180837888711
ID_327496_F9llgg,Klhqlr0ako,5,L,38,47,1.4,TMEB693,Early,0.40853658536585363,2763.027807933528,858.737378097162,0.20571536403555982,9.997923833274198e-05
ID_140931_Eidoxm,Lwuwokuhrf,7,L,25,40,3.1,TMEB419,Early,0.9939024390243902,4611.369436170997,1878.420801720968,0.3385707461880605,0.0004102205719981383
ID_287267_Egezfb,S6lk1xauct,4,R,24,39,2.1,TMEB419,Early,0.3902439024390244,1463.7724158124227,710.986400604248,0.12078488217256643,0.0003502449595573753
ID_194164_Bsrwho,Pucqtyga9u,4,R,37,43,1.4,TMEB419,Early,0.5670731707317073,2897.5432560618333,1137.6007854182546,0.2293356574994555,5.0355635377209974e-05
ID_789159_Aqdtho,Kcqzgef5an,7,L,18,27,0.0,TMEB693,Early,0.45121951219512196,3745.500967630526,1326.748740591654,0.2696751602257763,6.336772202731827e-05
ID_309524_Tsywg8,Kjvcz6bjfj,4,R,26,39,2.1,IBA980581,Early,0.6402439024390244,3068.4603904165874,2057.4045417599564,0.23562930858050635,0.00014995937367751245
ID_526113_Y4b17u,A6dzrkjqvl,4,L,33,42,1.8,IITA-TMS-IBA000070,Early,0.32926829268292684,1388.119464502102,802.1555079948612,0.10912888869816183,0.0003074391607962801
ID_105069_Ivzzqa,Jtcfkuovxk,5,L,18,26,2.1,TMEB693,Early,0.43902439024390244,2118.3971713926735,1367.8813960377763,0.15151772717627052,0.0001905011045641381
ID_761355_Ksxzhs,Hzapvbcfm8,2,R,24,30,1.7,IBA154810,Early,1.0365853658536586,3802.9076632988163,1652.9139432209295,0.2886822393919292,0.00033341003625625084
ID_502352_Sz2zeb,Hzapvbcfm8,4,L,19,35,1.4,IBA154810,Early,1.0365853658536586,3802.9076632988163,1652.9139432209295,0.2886822393919292,0.00033341003625625084
ID_964577_Dvzz6h,Ummqfuetoc,2,R,17,26,2.2,IBA980581,Early,0.7012195121951219,3274.6210807242046,1829.7320910197932,0.2359671833298789,0.00014764524296996155
ID_458058_L3ygsi,V6awcupt6m,5,L,34,41,0.8,TMEB693,Early,0.8963414634146342,6040.42711285847,1692.9927435153868,0.4283895474736432,0.00020433296280077093
ID_934120_Rpwsrz,Ceibvxd51g,3,R,37,45,0.1,DIXON,Early,0.40853658536585363,1370.3631368497522,858.375166730183,0.11051705290253624,8.116885447570206e-05
ID_185883_Bt6qfa,Ot13d4nq6t,2,L,41,50,0.5,DIXON,Early,0.6829268292682927,3285.688712887648,1500.620337137362,0.2501184787624141,0.00010408424843640968
ID_388923_Vspgeb,Jtcfkuovxk,4,L,18,26,0.4,TMEB693,Early,0.43902439024390244,2118.3971713926735,1367.8813960377763,0.15151772717627052,0.0001905011045641381
ID_228448_Fpjidx,Pucqtyga9u,4,L,30,40,1.4,TMEB419,Early,0.5670731707317073,2897.5432560618333,1137.6007854182546,0.2293356574994555,5.0355635377209974e-05
ID_402352_Ghl6ae,Pw4ytibfql,6,L,25,32,1.4,TMEB419,Early,0.6890243902439024,3575.108218402397,1396.8850232566276,0.2639195042814802,0.0003540171917395738
ID_338368_Lpb5hs,Xdi1ipcemf,5,L,21,28,3.8,IITA-TMS-IBA000070,Early,0.5548780487804879,2967.44250739493,1271.9512250016376,0.2141916389586186,0.0002469845536560207
ID_942723_U6r0cz,Bs8ueatyis,6,L,33,42,1.8,TMEB693,Early,0.34146341463414637,1495.0723536421613,546.786343644305,0.10388904572707927,9.412315689841157e-05
ID_173595_Oveu0u,F1p0lhe1ij,1,R,30,37,2.9,IITA-TMS-IBA000070,Early,0.8536585365853658,3922.536594297828,1642.20654296875,0.26992583116601787,0.00012140544279762549
ID_708233_Phevgh,Bs8ueatyis,7,L,33,42,0.4,TMEB693,Early,0.34146341463414637,1495.0723536421613,546.786343644305,0.10388904572707927,9.412315689841157e-05
ID_183767_Vuz2mr,Lsdgz02kdp,4,L,29,40,1.7,TMEB693,Early,0.5914634146341463,2319.477514499571,1168.2913736482947,0.16078135680862712,0.0002139661407784476
ID_884519_Vdztlr,B5myqsh1wi,5,R,26,35,0.1,TMEB419,Early,0.3353658536585366,1601.543986808963,838.0350756761504,0.1308774727884799,7.940380484583707e-05
ID_870170_Tfgnvr,Hc3b9gicdo,1,R,29,38,1.9,IITA-TMS-IBA000070,Early,0.5548780487804879,4105.935591348788,1488.9588948691764,0.29892412727925394,0.00016536060802093886
ID_579277_S5z2ov,B8x7mhxe6z,5,R,20,30,6.6,IBA154810,Early,1.0121951219512195,4370.656577505716,1991.182390166492,0.3234718412249075,0.00025013703967474796
ID_778776_Jbjg2v,Mrw7chmalv,5,L,18,23,0.9,IBA154810,Early,0.5121951219512195,2919.1319256294064,1258.2120633009004,0.22839224465065047,0.00025095775050100526
ID_598878_Hoeecl,Up8aqujy0s,6,R,25,33,4.9,IBA154810,Early,0.5853658536585366,2477.31790905464,1157.3683374916634,0.18515318918854154,0.00010001737274158849
ID_744473_Wa9j0w,Ceibvxd51g,4,R,37,45,0.7,DIXON,Early,0.40853658536585363,1370.3631368497522,858.375166730183,0.11051705290253624,8.116885447570206e-05
ID_546186_R7be7y,Ah4ubi4ggi,5,L,42,49,3.1,IITA-TMS-IBA000070,Early,0.5365853658536586,2327.2339604075364,1576.1833056938358,0.1834355896299674,0.00016048322065393973
ID_422138_Vqhuqf,Mskdmpitqk,2,L,21,36,1.7,TMEB419,Early,0.8353658536585366,3137.1339856124505,1423.301626112403,0.24627700414214437,0.0005725939872766287
ID_635513_Jn1fnv,Ceibvxd51g,6,R,37,45,0.5,DIXON,Early,0.40853658536585363,1370.3631368497522,858.375166730183,0.11051705290253624,8.116885447570206e-05
ID_261694_Oa4ssj,Td901zykbu,3,L,8,14,2.3,TMEB419,Late,1.2682926829268293,4690.82619383277,2294.9733629924494,0.3598915293718559,0.00023285856997374874
ID_355808_Brk59j,Mrw7chmalv,6,L,18,23,3.3,IBA154810,Early,0.5121951219512195,2919.1319256294064,1258.2120633009004,0.22839224465065047,0.00025095775050100526
ID_375447_Zarog3,Yznlv6wrsh,2,R,45,53,0.7,DIXON,Early,0.7073170731707317,3309.9615523175494,1655.0595851991234,0.2604431453247711,0.00014253700024054457
ID_371892_Zfw9o2,Ynjc34lyjb,6,L,10,16,4.0,TMEB693,Late,1.2560975609756098,4538.190946532459,1640.8673210144043,0.32861513660802405,0.0002505798605656391
ID_684744_C8mesi,Lsdgz02kdp,2,R,17,27,1.4,TMEB693,Early,0.5914634146341463,2319.477514499571,1168.2913736482947,0.16078135680862712,0.0002139661407784476
ID_373357_Xwidqe,Izbgyxre0g,3,L,24,37,2.2,IBA154810,Early,0.8963414634146342,5327.072115270103,2168.9836113162155,0.4033247882762597,0.00014579752967425845
ID_264213_Cgtotk,L8w7zu7wek,6,L,33,51,2.2,IITA-TMS-IBA000070,Early,0.6829268292682927,3323.434558403201,1648.8045661740186,0.24633700130218156,0.00012423795034282394
ID_360687_Uisdbc,Yxmmb4wt55,5,R,17,32,1.8,IITA-TMS-IBA000070,Early,0.39634146341463417,1743.6989288330078,1077.90441410716,0.13164181315145224,0.00010022167665733206
