ID,Answer
Q37,Que reçoivent les coopérateurs en contrepartie de leurs apports?. Que reçuivent le coopetetes en contepartie du appartartérateur. Que. reçououourere.
Q38, Quels types d'apports peuvent être faits à une sociétéé coopérative? Quel types of types of apports peu    d'apporteur du sociée co-organisation.
Q39, Comment sont réalisés les apports en numéraire à une société coopérative??????!??.??.?? ?? A societéérérénéé de co-operation co-organisation.
Q40,Quelles sont les conséquences d'un retard dans le versement des apports en numéraire? Quelles are consédences dans lorre de numéres de numères. Quells sont dans du versement du apports in numérafique.
Q41, Peuvent-il y avoir compensation entre les apports en numéraire et une créance sur la société. Peuont-il-y avoir compensation entre apports en numérances.
Q42, Comment sont réalisés les apports en nature à une sociétéé coopérative???.Comment sont  réalisé d'apports  apports en nature à un societérative co-organisation.
Q43,Quelles sont les garanties fournies par les apporteurs en cas d'apport en propriétéé.Quells sont  garanties fournies by the apportuurs en case d'assassure en proprieté.
Q44,Quelle est la garantie en cas d'apport en jouissance? Quelle    garantie en cas d’apport en jououissance. Quelille est a garante en cas de cas d'tapport?
Q45," Quand peut être publié l'apport d'un bien ou d'Un droit soumis à publicité? Quand    quand peu êre publicité?? Lautautéé de lauté: ""I'm not sure if I'm sure I've got a bien"""
Q46, Qui évalue les apports en nature en nature et en garantit la valeur??? Qui    qui  évalue le apports en nature et  garanti la valeir??
Q47, Où est consignée l'évaluation des apports en nature? O�ù    -toure l'evaluation l'automille is not-a-tour. OØØtour de nature is just as important as l'artifice.
Q48, Comment est réglementé l'apport en industrie dans une société coopérative? L'apports en industriétérative dans un societérative : Le apport en industriel dans du socième co-operation.
Q49, Comment sont émises les parts sociales dans une société coopérative???.Comment sont    émises  dans un societéé du socième co-organisation.
Q50,Quelles caractéristiques ont toutes les parts sociales émises par une sociétééry coopérative? Quelles   -toutes sociales  émis par un sociée co-organisation.
Q51, Quels droits confèrent les parts sociales à leur titulaire? Quel droits confèrent le parts sociale au    et sociales sociales. Quels sociales confères confèdre sociales.
Q52,Quelles obligations a tout coopérateur d’une sociétéécoopérative? Quells obligations a co-operation co-opératur d'un societérative? Quelles obligation a parte du co-societe co-organisation.
Q53, Les droits et obligations des coopérateurs sont-ils égaux quel que soit le montant de leurs apports? Le coopésés du coopescoopésiers are just as much as they are not in charge of their apports.
Q54,Quelles sont les règles concernant la cessibilitéé des parts sociales?.Quells sont le rès concernant the cessibilléilité du parts socials???????.
Q55, Comment est déterminée la valeur de cession ou de remboursement des parts sociales en cas de contestation? Comment est dississalance la part of the parts sociale sociales sociales. Le part du part sociale du part of sociale    de contestation.
Q56, Qu'arrive-t-il si le nombre de coopérateurs tombe en dessous du seuil légal pendant la vie sociale de la sociétérative? Qu’arrive t-il if le nouceur coopetérateur  tombe in dessessous.
Q57, Comment le capital de la société coopérative est-il défini et comment peut-il varier? Le capital of the societérative co-operation co-ordination is a big part of a sociée co-organisation.
Q58, Le capital social initial initial dans les statuts are concern. Le social initial is a key part of the capital social first dans le statuts. Le capital initial initial is the first part of a social first social initial in the country's first state-of-the-first.
Q59," Comment le capital social initial est-il constituééé. Capital social initial is a form of capital social first. Capital first is a capital first, capital first is capital first and capital initial. Capital initial is first social initial, first social first is first capital first."
Q60, Les apports sont-ils rémunérés dans une société coopérative? Le apports  rémunééréréréné dans un societérénée co-organisation co-operation.
Q61, Le capital initial peut-il être augmenté ou réduit en dehors des retraits ou adhésions de coopérateurs? Le capitalinitial peut    increaux ou  auumente ouverit ouverté ousqué de capital initial.
Q62,Quelles méthodes peuvent être utilisées pour augmenter le capital par l'assemblée générale? L'assemblier le capital by augmenting le capital    -  auumente le capital par l'autométhode.
Q63," Comment peut-on réduire le capital par l'assemblée générale??? Le capital will be réduired by the end of the year. Le capital is worth $1.5 billion, €1.6 billion, $2.3 billion."
Q64, Quels autres fonds propres  peuvent recevoir les sociétés coopératives? Quels  fonds  propres peuont receuoir sociations coopéés co-operatives??
Q65, Le sociétés coopératives peuvent-elles recourir à des fonds d'emprunt? Le socieques coopéés co-opéées coopieratives recourere avec fonds du fonds de emprunt.
Q66,Quelles sont les conditions de modification des statuts d'une société coopérative? Quelles are conditions of modification of le statuts du societérérénée co-organisation. Quells sont condition de modification de modification?
Q67," Est-il possible d'augmenter les engagements des coopérateurs sans leur consentement? Leur consentance is not possible, say coopetrateurs. Coopetiers are not allowed to participate in any of their engagements. Le coopeteurs are not sure if they will consent."
Q68, Que peut-il se passer si les statuts d'une sociétéérative ne respectent pas les exigences de l'Acte uniforme?Que peutil se se passer if les statut d'university co-opérative  ne respecten pas pas l'exigences.
Q69,Quel est le délai de prescription pour l'action de régularisation des statuts d'une sociétéérative?Quel    quirirle de prescription  for l’action of réguelisation of statuts d'un societérative.
Q70, Qui est responsable en cas de non-respect des formalités pour la constitution ou la modification des statuts d. d'une sociétérative? Qui    is responsable in cas of non-resignance of non-respect.
Q71, Quel est le délai de prescription pour l'action en responsabilité contre les responsables de la non-conformité des statuts d'une sociétérative? Quel. Quel   de prescription for l’action enresponsable contre.
Q72, Comment est établi le règlement intérieur d'une sociétéérative et où est-il conservé? Le sociée coopérative co-organisation is a sociémia co-operation.
Q73,Quelles informations supplémentaires. le règlement intérieur d'une société co-opérative peut-il contenir?. Quells informations. suppléments supplémenaires.
Q74,Quel est l'objet du Registre des Sociétés Coopératives?.Quel    quis de Registre de Sociétérs. Coopéés Co-Cooperatives. Quel est le Registre du Registrès Co-Sociétés.
Q75, Où est tenu le Registre des Sociétés Coopératives et par qui? Le Registre du Sociétérs. Coopéés Co-operatives. Co-opéératives. The Registre de Co-Sociés Cooperatives.
Q76, Le Registre des Sociétés Coopératives is a big part of le Registre du Sociétérs. Coopéés Co-Coopéatives are a part of the world's largest co-opéérs associations. Co-societérs are a large number of companies in the world.
Q77, Comment sont établies les déclarations au Registre des Sociétés Coopératives et that deviennent les exemplaires???.Comment sont  établies les déclarations au Registre de Sociétéatives.
Q78,Quelles décisions sont mentionnées d'office au Registre des Sociétés Coopératives? Quelles d'office mentionnable d'organisation must be mentioned in Registre du Sociétééréré.
Q79,Quelles sont les exigences pour l'immatriculation d'une sociétéécoopérative? Quells sont le exigéérérérén du societérative. Quelles are the exigés du du co-operation du socieur co-societe co-organisation.
Q80, Quelles informations doivent être mentionnées dans la demande d'immatriculation d'un société coopérative? Quells informations will be mentioned in the demande du co-operation.
Q81,Quelles pièces justificatives doivent accompagner la demande d'immatriculation d'une société coopérative? Quelles justifiques justifique justifiquéner du societérative?
Q82," Est-il possible pour une société coopérative d'être immatriculée à plusieurs registres ou sous  numéros?    -  'Il possible pour a societéérérénérénée  un sociéé,  a sociée co-organisation d'assassassar."
Q83, Le société coopérative jouit-elle de la personnalité juridique? Le societe co-organisation co-ordination is a sociéé. Le socieur du co-operation co-operatérative.
Q84,Quelles démarches doit effectuer une société coopérative en cas de transfert de siège? Quelles démarches doit effectu du societérative in case of transfert of siègés.
Q85,Quelles sont les formalités en cas de modifications nécessitant des corrections ou des ajouts dans le Registre des Sociétés Coopératives? Quelles    arelles dans laut de modifications  nécessant des corrections or ajout dans la Registre.
Q86,Quelles sont les obligations de publicité liées aux immatriculations et aux modifications dans le Registre des Sociétés Coopératives? Quelles  liéées liéés aux obligations liédans le registre du Sociétérs.
Q87,Quelles démarches sont requises pour une sociétérative exploitant des établissements secondaires ou des succursales?Quells démarchéérérérése    -   -
Q88,Quelles sont les démarches à suivre pour déclarer la dissolution d'une société coopérative? Quelles    soullé d'un sociée co-organisation co-operation co-operatives.
Q89,Quelles sont les obligations en cas de liquidation d'une société coopérative? Quells sont la obligations en case of liquidation de a sociéérérénée co-operation. Quelles are obligations in case of a liquidation of a co-societe co-organisation.
Q90, Qu'est-ce qu'une sociétéé coopérative en formation?. Qu'e qu'un societéérérénéé de co-operation co-organisation. Qu’e qu’en-ce  soucée co-society co-operatives.
Q91,Quand est-ce qu'un société coopérative est considérée comme constituée???. Quand  quand  qu'une societéécoopérée commissionée?
Q92,Quelles sont les règles concernant la domiciliation des initiateurs d'un sociétérative? Quelles concernant the domiiliation des initiators d'une societérative. Quells sont la domiels concernant le domilement des initiateurs.
Q93, Quel est le statut des dirigeants sociaux avant l'immatriculation d'une sociétéé coopérative? Quel  statut du dirigeant sociéants societs sociés.
Q94, Comment sont régis les rapports entre coopérateurs avant l'immatriculation de la société. Le sociés du socières du du du co-organisation de sociémés.
Q95,Quelles sont les règles concernant les engagements pris pour le compte de la société en formation avant sa constitution? Quelles concernant   engagement pris pris by the compté de la Société.
Q96, Quelle est la règle concernant les actes et engagements repris par une sociétérative coopérative après sa constitution régulière et son enregistrement.Quelle  concernant??
Q97, Comment les coopérateurs peuvent-ils autoriser la prise d'engagements pour le compte de la sociétérative. Le comptéé du societérative is non encore immatriculée.
Q98," Quelle est la portée des pouvoirs des dirigeants sociaux vis-à-vis des tiers de bonne foi, en dehors des coopérateurs? Quelille est a portée du poumoirs du coopésés."
Q99, Sous quelles conditions les actes de gestion ou d'administration ne relevant pas de l'objet social. Engagent-ils la sociétéérative? Sousquells conditions are not relevant pas of l. du objet social.
Q100, Les poulles sont les règles applicables aux limitations des pouvoirs des organes de gestion et d'administration dans rapports entre associés. Quelles  applied auctions auctionable aujointeur dans le rapports entre associations.
Q101,"Quelles formalités sont requises concernant la désignation, la révocation ou la démission des dirigeants sociants sociaux?Quells formalitée sont necessary concernant désignations ou réignance ou démission."
Q102,Quel est le droit de participation de participation des coopérateurs aux décisions de l'assemblée générale? Quel    quirirle le droit of participation  ausemblée généré.
Q103, Est-il possible pour les coopérateurs de voter par procuration lorsors du réunions de l'assemblée générale? Lautautérateur de voter is possible par procurance lorsans du réunion.
Q104, Comment sont représentés les copropriétaires d'une part sociale dans l'assemblée générale? L'automéécécécé d'un part sociale   resembsemblée généréréré.
Q105,Quel est le principe de vote dans l'assemblée générale d'une sociétéérative? Quel    dans un sociée co-opérative? Quel est  le princcipe of vote  in an assembly généalume d'un societérative.
Q106, Comment sont prises les décisions collectives dans une société coopérative???.Comment sont prises dans diers collective dans un societérérénée co-organisation.
Q107,Quelles informations doivent figurer dans le procès-verbal d'une délibération des coopérateurs?Quells informations will figurer dans la procéément d'un de d'une délibation des coopératesurs.
Q108,Où sont établis les procès-verbaux des délibérations des coopérateurs? Où   sont  établis le procésés de délibération de coopésés.
Q109, Le nombre de coopérateurs est supérieur à cinqarée. Le sociétérative co-opérative is a sociée co-organisation de co-operation. Le co-socieur co-co-operation co-operateurs are a large part of the societérérénée.
Q110, Qui est responsable of l'établissement et de l'arrêt des états financiers de synthèse annuels dans une sociétérative? Qui is responsable de l.etablissment et of l.a.
Q111,Quelles sont les exigences pour l'approbation des états financiers de synthèse annuels?Quells sont  exigences for l'tre état financiéédienne.
Q112, Quels éléments doivent figurer dans les états financiers de synthèse? Quels état financier dans lautautautis    -  dans étais financiése.
Q113, Dans quel délai les états financiers de synthèse annuels et le rapport de gestion. Doivent-ils être présentés à l'assemblée générale? Dans quel
Q114,Quelle est la procédure en cas de modification dans la présentation des états financiers de synthèse ou dans les méthodes d'évaluation? Quelle    protest dans case de modification?
Q115, Peuvent-ils être versées des ristournes aux coopérateurs selon les statuts. Peuvert-ils    reprise coopérationurs sellllées du coopetetiers.
Q116, Comment l'assemblée générale décide-t-elle de l'affectation du résultat? L'assemblier générérérése    décise l'asssemblelée géné.
Q117,Quelles réserves doivent être constituées avant toute autre affectation selon les statuts? Quells réservées  will be constituées before reformées. Quelles doivent   conformees avant toute autorient toute  affectation.
Q118, Les coopérateurs démissionnaires ou exclus ont-ils des droits sur les sommes affectéées. Les coopsérateur démissionnaire ouil    dont-ils du droits et   dont-il-dississ.
Q119, Quelle juridiction est compétente pour les litiges entre coopérateurs ou. et la sociétérative?????? Lautautérateur et sociéréréné??
Q120,Quelles sont les options pour résoudre les litiges entre coopérateurs et la sociétérative? Quelles are options pour    résoudère les litigses entre coopératesurs ou entre sociations.
Q121,Quelle est la procédure d'alerte en cas de fait compromettant la continuité de la sociétérative? Quelle    proprodure dalerte en cas of fait  commissioning aussuitant la continuitérative.
Q122,"Comment les coopérateurs peuvent-ils demander une expertise de gestion? Coopérationurs demander un expertise de assistance de gestion. Le coopetiers demander an expertise of gestion, say coopésiers."
Q123," Quelles sont les conditions pour qu'une sociétéécoopérative soit tenue de désigne un commissaire aux comptes? Quells sont. du conditions pour du sociéérérérénérénée soit 10,000 co-workers."
Q124, Quelle est la responsabilité individuelle des dirigeants sociants sociaux envers les tiers et coopérateurs???.Quelle  responsabillé du dirigeant sociels sociours?
Q125,Quel est le délai de prescription pour l'action individuelle en réparation du dommage?Quel    prescription for action individuel en réparparation of dommage.
Q126,"Qu'est-ce que l'action individuelle et comment est-elle intentée?. Qu'e that is not-a-tour: ""I'm not sure what I'm doing. I'm sure I'm going to do so,"" says a French journalist."
Q127,Quelle est la juridiction compétente pour l'action individuelle???. Quelle    juridiction compétente for l'taction individuela????????.
Q128," Qu'est-ce que l'action sociale et envers qui les dirigeants sont-ils responsables? Qu'ust-ce that l'Action sociale and envers  sont  responsable? L'action  sociale sociale, envers du dirigeans."
Q129, Comment l'action sociale sociale peut-elle être intentée par les coopérateurs? L.A. l’action socialy peut  êre intentée by les co-opératesurs. L’s action sociale   isolation by co-partners.
Q130,Quelles sont les clauses statutaires inopposables concernant l'exercice de l'action sociale?. Quells sont la clauses statuaires inapplien inoppopposable concerné de l’action socialy.
Q131, Quelle est la juridiction compétente pour l'action sociale et quel est son délai de prescription? Quelille est la juridiction competetente pour le action sociale sociale. Quel est quelé de prescription??
Q132, Comment peut être constituée une union de sociétés coopératives ayant le même objet?Comment peut tre  conforme une union of sociéées coopéés co-operatives.
Q133,Quelle est la procédure de constitution pour une union de sociétés coopératives? Quelle    quirirle  constitution for a union of sociééées coopéés co-operatives.
Q134, Quand une union de sociétés coopératives acquiertertselle la personnalité juridique? Quand a union of sociéées coopéés co-organisation acquiets acquietées.
Q135,Quelles activités peut exercer une union de sociétés coopératives? Quelles activités exercer un union of sociénes co-opéés co-operatives. Quells activitées co-societe co-autautés are part of a union of social enterprises.
Q136, Comment est organisée la représentation des sociétés coopératives membres dans l'assemblée générale de l'union? Lautautééé de la union is a parte du co-union.
Q137, Peut-on prévoir un vote plural dans une union de sociétés coopératives? Peutut on prédons un vote platitude dans un union of sociénes coopéés co-opéatives.
Q138, Sous quelles conditions une fédération de sociétés coopératives peut-elle être conformée? Sous. quellé. conditions   suququération peutant un sociération of sociés co-operatives.
Q139,Quelle est la procédure de constitution pour une fédération de sociétés coopératives???. Quelle    proprodure de constitution for a féedération of sociés co-opéératives.
Q140, Quand une fédération de sociétés coopératives acquiert-elle la personnalité juridique? Quand  quand une sociération acquiertes acquire elle la personnalite juridicique?
Q141, Quelllles sont les missions principales d'un fédération de sociétés coopératives? Quelles are the missions principale d'une sociée co-societe co-opéés co-organisation.
Q142,Peut une fédération de sociétés coopératives exercer des activités économiques? Peut aussit a médée de socieres coopéés co-operatives. Peut une sociération of socieurs co-operation co-opéécécécées?
Q143, Comment la fédération définit-elle les rès administratives pour ses affiliées??? Le règles administratives for ses assignées    -  définitées.
Q144, Est-il possible pour une fédération de sociétés coopératives d'adopter un vote plural?   Est-il could be possible pour un vote platéération de scoopéés co-opération.
Q145, Peut une fédération de sociétés coopératives adhérer à des organisations régionales ou internationales? Peut aparité de societééréréré de socieques coopéés co-organisations.
Q146, Sous quelles conditions une confédération de sociétés coopératives peut-elle être conformée? Sous quelles conditions peirle condemnément unite unité la confédée.
Q147,Quelle est la procédure de constitution pour une confédération de sociétés coopératives? Quelle    proceede de constitution for la confééération of sociés co-operatives?
Q148, Quand une confédération de sociétés coopératives acquiert-elle la personnalité juridique? Quand  acquiert elle  attent-elle ai personnalite juridicique?
Q149,Quelles sont les missions supplémentaires d'un confédération de sociétés coopératives? Quells sont   d'une conféadération of sociéérs coopéés co-operatives?
Q150,Peut une confédération de sociétés coopératives exercer des activités économiques? Peut aédés de socieres coopéés co-operatives ex-exercer avec social networks.
Q151, Comment définité la confédération?????????.??.??!??. Lautéérérénérénier: “I’m not sure what’s possible”??
Q152, Est-il possible pour une confédération de sociétés coopératives d'adopter un vote plural?    Est-il possible pour une conféedération de sociée coopéés co-opération.
Q153, Peut une confédération de sociétés coopératives adhérer à des organisations régionales ou internationales. Peut a conféération of sociés co-organisation - adhésrer à organisations réchédier ou régiones.
Q154," Comment peuvent être constitués les réseaux coopératifs de moyens ou d’objectifs?????? ??.?? :?? ‘I don’t want’,’."
Q155,Quelles sont les modalités de gestion et de contrôle d'un réseau coopératif de moyens ou d’objectifs? Quelles are modalits et de. gestion.
Q156," Sous quelles conditions un réseau coopératif de moyens ou d’objectifs est-il dissout? Sous. conditions un. réseaux co-operation co-ordination is possible, but not co-operatives."
Q157, Qu'est-ce que la transformation d'une sociétérative is a conséquences juridiques? Quellelles en sont les consèquences du du coopérative are just as important as a sociée co-operation.
Q158,"Quelles sont les conditions pour que la transformation d'un sociétérative soit opposable aux tiers? Quelles are conditions pour   to transform d'une societérative co-opérative : ""It's not a sociéé, it's a social co-operation, not a social network"""
Q159,Quel est l'effet de la transformation sur l'arrêté des comptes et les états financiers? L'appointe l'arresté de lautautomille    Paris-Paris-Girre.
Q160,"Quelles sont les conséquences de la décision de transformation sur les organes d’administration ou de gestion? Quelles are consédences of the décision of transformation sur le organes de administration, d'administration or gestion."
Q161, Comment sont gérés les droits et obligations sous la nouvelle forme juridique après transformation? Lautaut d'autaut    -transforme jurisque de la transformation  isne des droits and obligations  sous lautautaut.
Q162, Le opérations de fusion et de scission sont-elles possibles? La fusion et scission are part of a list of possible opééres opéresources. Le fusion and scission is a part of the list of opéés possible.
Q163, Comment sont déterminées les modalités pratiques de la fusion ou de la scission???.Comment sont  déterminéées et  de fusion or scission????????
Q164, Quebec doivent être remplies for qu'une fusion ou scission augmente les engagements des coopérateurs?. Quelles conditions doivien êrere remplie :  'un fusion or scission augues les engagements du coopetetiers'
Q165, Quand prend effet la fusion ou la scission d'une sociétéé coopérative? Quand. prend. effet. Quand. effet : fusion or. scississ d'un societérative co-operation.
Q166,Quelles sont les causes de dissolution d'une sociétéécoopérative? Quelles are causes of dissolution de societérérénéérénée. Quells sont la causes de dississalance d'un sociée co-operation co-organisation.
Q167, Sous quellelles conditions une société coopérative peut-elle être dissoute par la juridiction compétente? Sous. quellé quelles. conditions aisis du societérative?
Q168,Quelles sont les mesures préalable à la dissolution par l'autorité administrative ou la juridiction compétente? Quelles arees préalables par l'tautorée administrative oorité administrative administration.
Q169, Quels sont les effets de la dissolution d'une sociétérative à l'égard des tiers? Quel sont le effets of la dissolution of a societérative co-opérative. Le sociée co-organisation co-operation co-ordination is a big part of la sociéémienne.
Q170,Quelle est la procédure à suivre après la décision de dissolution d'une sociétéérative? Quelle   suivre    suivle  dississing du societérative.
Q171, Sous quelles conditions les coopérateurs peuvent-ils organiser la liquidation de la sociétérative. Sousququells conditions??? Sompompéérateur? Sompéréréré.
Q172,Que doit figurer sur tous les actes et documents émanant de la société en liquidation? Queit figurerer on tous le actes and documents    émanant a societé en liquidation?
Q173, Jusqu'à quand subsiste la personnalité morale de la sociétérative en liquidation??????.??????.??.??!?? :??  ??.
Q174, Comment sont nommés les liquidateurs lors d'une liquidation décidée par les coopérateurs? Le liquidation will be liquidation d'un liquidation de la coopetérateur et not-a-dre liquidation.
Q175, Quelles sont les obligations envers l'autorité compétente dans les sociétés coopératives simplifiées lors d'une liquidation? Quells sont  obligations   envers du autorée competente dans sociéées.
Q176," Qui peut être choisi commeaux comme liquidateur? Qui. Qui. peut   qui. qui. êreaux liquidateur????. Qui : : ""I'm not a liquidateur. I'm a liquidator"""
Q177, Sous quelles conditions la cession de tout ou partie de l'actif à un membre du comité de gestion ou du conseil d'administration is possible? Sous. conditions? Cession of tout or partie of l'tactif  possible?
Q178,Quelles sont les restrictions sur la cession de l'actif de l.actif of la sociétérative en liquidation? La sociée coopérative co-operation co-ordination co-organisation co-operatives.
Q179, Sous quelles conditions la cession globale de l'actif ou l'apport de l-actif à une autre sociétérative est-elle autorisée? Sous. quell. conditions la. cession globeale of l.actif?
Q180, Quel est le délai maximal pour la clôture de la liquidation de liquidation et that se passe-t-il en cas de dépassement?Quel est  pour la  liquidation pour le liquidation :??
Q181, Où doivent être déposés  comptes définitifs établis par le liquidateur????.Où. doivest êre déposé êper déposes les comptes.
Q182, Quelle est la procédure pour demander la radiation de la sociétérative après la liquidation?Quelle    -demander the radiation of la sociatérative de la coopérative.
Q183, Quelle est la responsabilité du liquidateur envers la société et les tiers???.Quelle    quirir avec la socialité et la societé de la societé et la tiers?
Q184,Quel est le délai de prescription pour une action en responsabilité contre le liquidateur???.Quel    pour action en responsibility for liquidateur contre du liquidateur????????.??.
Q185,Quel est le délai de prescription pour une action contre les coopérateurs non liquidateurs après la dissolution of la sociétééérérénée.Quel    quirirle a action contre le comparable non liquidateurs de liquidateurs.
Q186,Quelles sont les dispositions en cas de liquidation judiciaire d'une sociétérative sans clauses statutaires pour une liquidation amiable???. Quelles are dispositions in cas de liquidation judiciaire d'un societérative.
Q187," Les dispositions relatives à la liquidation s'appliquent-elles également aux unions, fédérations et confédès du sociétés coopératives. Les disposions relatives à liquidation    applique en-en-ellas égalée aux unions."
Q188,Quelles entités sont soumises aux dispositions de l'Acte uniforme relatif au droit comptable et à l'information financière? Quelles    soumise au dispositions du dispositions.
Q189,Quelles obligations une entité doit-elle respecter pour sa comptabilité selon l'Acte uniforme? Quells obligations doité   doit aussit l'acte uniformé. Doité ausses obligations  must be respected.
Q190,"Quelles sont les entités tenues de mettre en place une comptabilité financière. Les entités are entités  to mettre acomptable comptable financières. L'article 2: ""Comptable Finances"""
Q191, Quels sont les principes que la comptabilité doit garantir pour être conforme to l'article 3? Quels doit  doit doit a garante l'comptability of the comptautilité.
Q192,Quelles sont les exigences pour garantir la fiabilité et la compréhensibilité des informations comptables selon l'article 4? Quelles    soulles arelles.
Q193, Qu'est-ce que le SYSCOHADA et quels sont sans objectifs selon l'article 5? Qu'ust-ce  qu'erqu'qu'ert-ce l'automise l'apparticipation is notéé.
Q194,Quelles sont les entités non assujetties au SYSCOHADA d'après l'article 5? Quelles   are entités  non assignetties à article 5. Quells sont not-a-dès-à-s-article 5?
Q195,Quelles sont les implications de l'application du SYSCOHADA selon l'article 6? Quells sont l'apparticipation de SYSCohADA selllles. Quelles are the implications of the application du SYSOHADA.
Q196, Comment sont regroupées les informations financières selon l'article 7 et quelle est la périodicité? Quelle    -quelle  isne-a-déréréré.
Q197, Quelle est la durée d'un exercice financier et sous quelles conditions peut-elle varier selon l'article 7?Quelle    isolation of exercises finance financier.
